epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,654.269,1.27454,1.25332,1.29438,0.85997,0.76598,0.83782,0.52462,1.41461,1.28676,1.39277,0.009054,0.009054,0.009054
45,667.7,1.26781,1.22972,1.29695,0.76799,0.79206,0.85148,0.53437,1.33291,1.10057,1.31954,0.009032,0.009032,0.009032
46,683.058,1.28092,1.22012,1.29584,0.8038,0.84741,0.87473,0.56125,1.3021,1.06848,1.29068,0.00901,0.00901,0.00901
47,701.125,1.26202,1.20703,1.28724,0.85131,0.78262,0.87377,0.56178,1.30515,1.04773,1.29099,0.008988,0.008988,0.008988
48,717.534,1.2622,1.23107,1.28341,0.63515,0.76442,0.7722,0.49815,1.38605,1.23625,1.34374,0.008966,0.008966,0.008966
49,732.293,1.26741,1.19995,1.29545,0.81915,0.87473,0.88579,0.5897,1.25397,0.95283,1.27452,0.008944,0.008944,0.008944
50,749.658,1.25917,1.1927,1.28673,0.86258,0.81079,0.86741,0.55998,1.32912,1.08631,1.29851,0.008922,0.008922,0.008922
51,762.933,1.24339,1.1716,1.27233,0.87859,0.85183,0.90587,0.58984,1.27957,0.97849,1.29717,0.0089,0.0089,0.0089
52,778.981,1.23959,1.17723,1.27741,0.82629,0.84616,0.87712,0.55807,1.3983,1.08408,1.33864,0.008878,0.008878,0.008878
53,793.009,1.23398,1.16855,1.25815,0.82717,0.84253,0.89764,0.5885,1.26948,0.9777,1.26117,0.008856,0.008856,0.008856
54,807.491,1.24085,1.17444,1.26436,0.68837,0.66761,0.70633,0.41394,1.5578,1.589,1.53654,0.008834,0.008834,0.008834
55,821.038,1.2534,1.15675,1.26931,0.80277,0.85848,0.89619,0.58612,1.2671,0.97195,1.25467,0.008812,0.008812,0.008812
56,834.176,1.22234,1.1348,1.2566,0.87026,0.8484,0.88463,0.56612,1.3026,0.98659,1.26813,0.00879,0.00879,0.00879
57,847.617,1.22832,1.15173,1.25503,0.84132,0.81691,0.89041,0.59243,1.28009,1.01783,1.27582,0.008768,0.008768,0.008768
58,860.525,1.22837,1.136,1.26821,0.86856,0.82124,0.91252,0.60561,1.21628,0.93023,1.23628,0.008746,0.008746,0.008746
59,873.284,1.22572,1.12539,1.26069,0.88632,0.87472,0.91666,0.58674,1.2636,0.92249,1.25532,0.008724,0.008724,0.008724
60,885.954,1.20629,1.11529,1.24833,0.87984,0.85135,0.90877,0.60673,1.24132,0.89139,1.23655,0.008702,0.008702,0.008702
61,899.559,1.22372,1.11437,1.25519,0.78826,0.79898,0.87244,0.55977,1.31935,1.03679,1.29447,0.00868,0.00868,0.00868
62,912.703,1.20233,1.10648,1.2502,0.89004,0.83394,0.90604,0.58205,1.30223,0.94631,1.28056,0.008658,0.008658,0.008658
63,925.693,1.21413,1.1282,1.25645,0.88171,0.88342,0.91713,0.61231,1.24989,0.90419,1.2508,0.008636,0.008636,0.008636
64,937.88,1.19081,1.09836,1.2357,0.88512,0.85403,0.91746,0.62339,1.20869,0.89369,1.22502,0.008614,0.008614,0.008614
65,950.039,1.20695,1.09973,1.24477,0.81769,0.86068,0.90989,0.60881,1.25668,0.9354,1.27159,0.008592,0.008592,0.008592
66,962.2,1.19531,1.08271,1.23586,0.83806,0.81529,0.89272,0.60157,1.25745,0.98336,1.27311,0.00857,0.00857,0.00857
67,974.469,1.20442,1.10369,1.25125,0.87969,0.87923,0.90218,0.62571,1.22057,0.89335,1.23536,0.008548,0.008548,0.008548
68,986.871,1.19474,1.08427,1.23945,0.89181,0.8765,0.9298,0.63353,1.21321,0.87809,1.22497,0.008526,0.008526,0.008526
69,999.2,1.19675,1.07258,1.23773,0.90736,0.89576,0.93926,0.62077,1.19946,0.85219,1.21468,0.008504,0.008504,0.008504
70,1011.3,1.18267,1.07866,1.23534,0.90188,0.88191,0.93704,0.62627,1.20505,0.85452,1.21571,0.008482,0.008482,0.008482
71,1023.56,1.18314,1.07304,1.23215,0.89804,0.87927,0.92607,0.61626,1.25344,0.86168,1.25066,0.00846,0.00846,0.00846
72,1035.77,1.1927,1.07069,1.23525,0.86493,0.82764,0.88837,0.58401,1.24613,0.90473,1.24267,0.008438,0.008438,0.008438
73,1047.95,1.18362,1.05718,1.23149,0.90006,0.85961,0.92909,0.6218,1.195,0.83807,1.21393,0.008416,0.008416,0.008416
74,1060.04,1.18659,1.06803,1.23212,0.8585,0.88777,0.91517,0.59693,1.20981,0.86203,1.20766,0.008394,0.008394,0.008394
75,1072.1,1.18021,1.05364,1.22981,0.90641,0.86874,0.93576,0.62062,1.20362,0.85134,1.22633,0.008372,0.008372,0.008372
76,1084.24,1.17116,1.05857,1.22813,0.88504,0.89262,0.93177,0.59248,1.24397,0.88165,1.25278,0.00835,0.00835,0.00835
77,1096.44,1.17348,1.0565,1.22911,0.90876,0.88456,0.9349,0.63363,1.23263,0.83806,1.23559,0.008328,0.008328,0.008328
78,1108.57,1.18805,1.07275,1.22988,0.8785,0.86684,0.92317,0.61854,1.23122,0.86797,1.24265,0.008306,0.008306,0.008306
79,1120.67,1.17661,1.04878,1.23209,0.92173,0.89995,0.94348,0.63164,1.20416,0.83124,1.21773,0.008284,0.008284,0.008284
80,1132.79,1.16486,1.03457,1.21113,0.91397,0.88201,0.94017,0.64084,1.18153,0.83279,1.19638,0.008262,0.008262,0.008262
81,1145.02,1.14981,1.02569,1.2025,0.89899,0.88357,0.94371,0.62012,1.21572,0.82817,1.21684,0.00824,0.00824,0.00824
82,1157.21,1.14859,1.02265,1.21059,0.8778,0.89015,0.92875,0.62484,1.22369,0.86453,1.24874,0.008218,0.008218,0.008218
83,1169.46,1.15187,1.03641,1.21522,0.87808,0.88003,0.92038,0.61813,1.23384,0.85398,1.24656,0.008196,0.008196,0.008196
84,1181.66,1.17008,1.03482,1.22096,0.86612,0.90317,0.92149,0.62358,1.2208,0.83569,1.22354,0.008174,0.008174,0.008174
85,1193.82,1.15396,1.02936,1.20236,0.86864,0.87255,0.92408,0.61836,1.23234,0.83913,1.22737,0.008152,0.008152,0.008152
86,1206.11,1.13846,1.00558,1.20347,0.83425,0.8688,0.90683,0.60473,1.23133,0.90322,1.25009,0.00813,0.00813,0.00813
87,1218.42,1.13346,0.99934,1.20682,0.87821,0.89765,0.92595,0.63895,1.19695,0.82618,1.22286,0.008108,0.008108,0.008108
88,1230.52,1.12972,0.99515,1.2062,0.93476,0.87633,0.93617,0.62994,1.19247,0.78819,1.20628,0.008086,0.008086,0.008086
89,1242.7,1.15941,1.00856,1.2112,0.91671,0.88297,0.93406,0.62728,1.22205,0.80087,1.22077,0.008064,0.008064,0.008064
90,1254.94,1.16417,1.0101,1.21119,0.91654,0.9036,0.94458,0.63697,1.20453,0.80191,1.20986,0.008042,0.008042,0.008042
91,1267.23,1.141,1.00886,1.20593,0.90461,0.87684,0.94446,0.63174,1.1945,0.79409,1.214,0.00802,0.00802,0.00802
92,1279.46,1.13746,0.99548,1.20053,0.92649,0.87266,0.94643,0.6448,1.17668,0.79931,1.20843,0.007998,0.007998,0.007998
93,1291.6,1.14082,0.99098,1.20644,0.90287,0.8693,0.9241,0.63348,1.20625,0.84556,1.20755,0.007976,0.007976,0.007976
94,1303.61,1.1312,0.983,1.19114,0.92374,0.88488,0.94332,0.63668,1.17045,0.80019,1.21143,0.007954,0.007954,0.007954
95,1315.68,1.12128,0.98384,1.19866,0.91866,0.88394,0.93885,0.66029,1.16354,0.80635,1.19408,0.007932,0.007932,0.007932
96,1327.76,1.12458,0.9735,1.19875,0.88722,0.90903,0.94039,0.64146,1.14794,0.77735,1.17625,0.00791,0.00791,0.00791
97,1339.85,1.12868,0.98466,1.19858,0.89758,0.90389,0.94106,0.63892,1.18069,0.79695,1.19092,0.007888,0.007888,0.007888
