epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,555.285,1.27878,1.24345,1.29825,0.86323,0.80497,0.88037,0.56805,1.27913,1.00174,1.28117,0.0089605,0.0089605,0.0089605
44,568.142,1.2865,1.22568,1.29313,0.87093,0.7916,0.86498,0.53581,1.32017,1.07725,1.32995,0.00893575,0.00893575,0.00893575
45,580.859,1.26584,1.20929,1.28177,0.79032,0.78092,0.83695,0.51341,1.3352,1.14196,1.3142,0.008911,0.008911,0.008911
46,593.711,1.25818,1.19702,1.27142,0.79015,0.77135,0.84425,0.54138,1.29293,1.07631,1.29181,0.00888625,0.00888625,0.00888625
47,606.381,1.25171,1.18539,1.2735,0.83552,0.7921,0.8593,0.53989,1.28183,0.99107,1.28988,0.0088615,0.0088615,0.0088615
48,619.047,1.24969,1.179,1.27119,0.84769,0.81402,0.85921,0.56528,1.26213,1.03186,1.2852,0.00883675,0.00883675,0.00883675
49,631.7,1.23019,1.16893,1.26997,0.87095,0.7939,0.87736,0.54912,1.3507,1.01802,1.31364,0.008812,0.008812,0.008812
50,644.476,1.25419,1.19131,1.27637,0.86946,0.81462,0.87477,0.56746,1.2619,1.00717,1.29484,0.00878725,0.00878725,0.00878725
51,657.281,1.22432,1.16646,1.2634,0.87391,0.79161,0.85651,0.5651,1.27405,0.97281,1.30563,0.0087625,0.0087625,0.0087625
52,669.829,1.24077,1.18319,1.26475,0.83333,0.79376,0.83703,0.54166,1.32284,1.12551,1.32112,0.00873775,0.00873775,0.00873775
53,682.588,1.22615,1.14877,1.25564,0.83681,0.76754,0.84722,0.54456,1.30679,1.05069,1.32375,0.008713,0.008713,0.008713
54,695.511,1.25506,1.16908,1.27644,0.86134,0.80883,0.87538,0.56851,1.27183,1.02827,1.28356,0.00868825,0.00868825,0.00868825
55,708.218,1.23427,1.14807,1.26476,0.85295,0.81753,0.87527,0.56336,1.26548,0.97266,1.28807,0.0086635,0.0086635,0.0086635
56,721.011,1.21846,1.1449,1.25629,0.84875,0.81967,0.88383,0.55728,1.23623,0.96907,1.25584,0.00863875,0.00863875,0.00863875
57,733.817,1.22894,1.14684,1.26237,0.83595,0.78899,0.87105,0.54686,1.28267,1.01894,1.28883,0.008614,0.008614,0.008614
58,746.562,1.20713,1.1051,1.25089,0.85191,0.85832,0.89242,0.57025,1.25534,0.9622,1.27185,0.00858925,0.00858925,0.00858925
59,759.25,1.22137,1.12718,1.25729,0.86592,0.84072,0.88536,0.55974,1.21173,0.95877,1.25073,0.0085645,0.0085645,0.0085645
60,772.266,1.21459,1.11022,1.24546,0.81945,0.85175,0.89555,0.5774,1.23649,0.94335,1.26394,0.00853975,0.00853975,0.00853975
61,784.909,1.19962,1.09582,1.24156,0.88044,0.85133,0.89618,0.57619,1.233,0.9413,1.27839,0.008515,0.008515,0.008515
62,797.654,1.21657,1.10822,1.25014,0.83927,0.8586,0.89003,0.56102,1.30849,1.04266,1.32734,0.00849025,0.00849025,0.00849025
63,810.327,1.2033,1.09671,1.24023,0.76632,0.81334,0.8502,0.54347,1.28988,1.05663,1.2957,0.0084655,0.0084655,0.0084655
64,823.054,1.19239,1.10877,1.23887,0.85743,0.85314,0.89807,0.59076,1.2099,0.93096,1.24082,0.00844075,0.00844075,0.00844075
65,835.746,1.19088,1.10788,1.24211,0.84476,0.80287,0.86145,0.55126,1.29786,1.01673,1.30855,0.008416,0.008416,0.008416
66,848.332,1.19599,1.06779,1.23323,0.86496,0.85413,0.90607,0.58293,1.22605,0.91024,1.25163,0.00839125,0.00839125,0.00839125
67,861.09,1.19941,1.08231,1.22996,0.8174,0.81261,0.87237,0.56915,1.28705,0.9865,1.31329,0.0083665,0.0083665,0.0083665
68,873.786,1.17364,1.07083,1.22667,0.84196,0.84485,0.884,0.57982,1.25568,0.94609,1.26403,0.00834175,0.00834175,0.00834175
69,886.467,1.1823,1.07128,1.23213,0.87896,0.86949,0.91058,0.58316,1.22534,0.94028,1.26579,0.008317,0.008317,0.008317
70,899.049,1.18942,1.08565,1.22996,0.8785,0.85542,0.90989,0.58566,1.21932,0.90846,1.24647,0.00829225,0.00829225,0.00829225
71,911.75,1.1826,1.06057,1.23227,0.89222,0.86247,0.9066,0.58141,1.21488,0.9049,1.24351,0.0082675,0.0082675,0.0082675
72,924.541,1.16843,1.06825,1.22407,0.88619,0.84901,0.90441,0.56496,1.23694,0.96093,1.27421,0.00824275,0.00824275,0.00824275
73,937.203,1.17283,1.06152,1.23011,0.87084,0.85947,0.89598,0.57603,1.23534,0.95409,1.29223,0.008218,0.008218,0.008218
74,950.009,1.17762,1.06672,1.22651,0.80684,0.87228,0.89594,0.57387,1.22782,0.91738,1.24448,0.00819325,0.00819325,0.00819325
75,962.77,1.16164,1.0368,1.21586,0.86411,0.87106,0.89353,0.57138,1.21693,0.91361,1.27047,0.0081685,0.0081685,0.0081685
76,975.652,1.17406,1.04587,1.22479,0.8227,0.88538,0.90108,0.57809,1.23603,0.94344,1.27484,0.00814375,0.00814375,0.00814375
77,988.356,1.16868,1.06876,1.22223,0.89447,0.88008,0.92474,0.59961,1.22559,0.89817,1.27804,0.008119,0.008119,0.008119
78,1001.02,1.18005,1.03745,1.2227,0.76992,0.85192,0.88194,0.56252,1.21273,0.95264,1.24934,0.00809425,0.00809425,0.00809425
79,1013.75,1.16104,1.04949,1.21838,0.85358,0.85786,0.90584,0.59946,1.22493,0.83981,1.25506,0.0080695,0.0080695,0.0080695
80,1026.43,1.13727,1.02411,1.2021,0.85397,0.86227,0.90025,0.58363,1.24429,0.90974,1.27357,0.00804475,0.00804475,0.00804475
81,1039.2,1.1533,1.01265,1.21435,0.87718,0.87916,0.90601,0.58452,1.19612,0.84806,1.25982,0.00802,0.00802,0.00802
82,1051.87,1.15656,1.02109,1.20374,0.7994,0.8475,0.88697,0.58779,1.22304,0.94908,1.25231,0.00799525,0.00799525,0.00799525
83,1064.63,1.14114,1.00429,1.20131,0.84844,0.87779,0.90307,0.58263,1.20609,0.86815,1.23951,0.0079705,0.0079705,0.0079705
